point_index,D,V_in,R,f_sw,ode_v_out_mean,simscape_v_out_mean,surr_v_out_mean,ode_i_l_mean,simscape_i_l_mean,surr_i_l_mean,ode_v_out_ripple,simscape_v_out_ripple,surr_v_out_ripple,ode_i_l_ripple,simscape_i_l_ripple,surr_i_l_ripple,ode_efficiency,simscape_efficiency,surr_efficiency
0,0.686538782458434,12.7144232691695,20.7351656818072,18476.5839702967,37.3958552728309,37.4425960855235,37.39585529756903,5.75350035597421,5.83647431153648,5.753500356025359,0.670130455532427,0.670790778939185,0.6701304555306244,4.72432820098651,4.61694321110837,4.724328208651723,0.921956904899771,0.911123298994619,0.9219569049272466
4,0.342748105136364,16.4444584312677,9.60549021645521,26237.4261008866,23.6523171667125,23.1043532219414,23.652317177218237,3.74647046486541,3.6857878243867,3.7464704437948244,0.321668100267109,0.313890021673814,0.3216681002739404,2.14819355589162,2.12422738062109,2.148193497518371,0.945335496496413,0.916892014982873,0.9453354966134166
8,0.644660091232907,16.8694292447759,27.4209581067345,98456.5050196608,45.0533961925365,44.9670321827653,45.05339629754422,4.62382003617231,4.63193526386007,4.623820044470637,0.107579935390208,0.107369701930935,0.10757993539271103,1.10455350754251,1.08943901221637,1.1045535171766523,0.949010749587521,0.943719556509822,0.9490107495322634
12,0.49754076468904,18.0794341719661,32.3744688573999,83797.9259789642,34.7509530186037,34.5351652443275,34.75095299126969,2.13630488811583,2.15008615937054,2.1363048980265527,0.0637322816481427,0.0633327047800236,0.06373228165447326,1.07344607852505,1.06713801912783,1.0734460596492827,0.965790030482343,0.947719304052749,0.9657900304729194
16,0.332957984580456,18.7797020811446,27.8288286035975,91594.831297335,27.1974870293331,26.978064076356,27.197487035018085,1.46514518553098,1.48000465474269,1.4651451924132302,0.0355264914521741,0.0352367785664391,0.03552649146694806,0.682664258167724,0.680014528272315,0.6826642523303135,0.966035908557558,0.940968007807298,0.9660359085378837
20,0.462410753052147,13.4603658707938,38.4413518621511,14769.7870448219,24.0716144155216,29.0378380933354,24.071614578605583,1.16481242045643,1.5450197230969,1.1648124115134162,0.196047025454642,0.341975686166169,0.19604702548527725,4.21415549173632,4.1813337669868,4.21415547468136,0.961388508356789,0.99,0.9613885082814936
24,0.411902706488851,19.1258488309496,31.3616084991966,46070.5267772099,31.4716654508512,31.2436205701216,31.47166543741443,1.70636610676075,1.71807852877254,1.7063660965601828,0.089720743627755,0.089868548889708,0.08972074357969924,1.70998454944124,1.70238925152471,1.7099846447878002,0.967716593262203,0.947241357979169,0.9677165932902584
28,0.40720454962003,19.6605008622891,21.2887263904772,84876.4055424165,31.9516777396877,31.6230957530392,31.951677745408073,2.53185672133503,2.5316063155342,2.5318567199850732,0.0720061564002765,0.0712607877476295,0.07200615637718101,0.943235678722487,0.937215556561072,0.9432356876276264,0.963394031960951,0.943774715102916,0.9633940319551566
32,0.412004590531699,16.3662780514351,25.9837796915201,58157.2929542184,26.774588201568,26.5454221081126,26.774588257891835,1.75245364549266,1.76280613683111,1.7524536685714256,0.0729992412999616,0.0723627924584527,0.07299924124742774,1.15943871259922,1.15326923302683,1.159438581721331,0.961937399783339,0.939988340884231,0.9619373997270299
36,0.657885179559791,14.878533899756,5.1892101639519,93720.3226436708,35.1080069539366,34.9727824184013,35.108006965575576,19.7757529226538,19.722772238472,19.775752920408202,0.474920857845719,0.473166228356888,0.47492085784552424,1.04442309523872,0.975256628311637,1.04442309125318,0.807268348883186,0.803213526457286,0.8072683488873331
40,0.676066135657588,17.7690059154008,26.3965981582209,32374.7224255147,51.6583692261854,51.6796376333337,51.65836926599691,6.04138313717035,6.11444469150513,6.0413831438074075,0.408672919113708,0.408819752891866,0.4086729191007499,3.71061811922573,3.6473991297323,3.710618107902902,0.941746277126414,0.931259692029005,0.9417462770911569
44,0.629300025221608,11.799089417303,24.2117176541801,49982.3932191601,29.9459623309813,29.8415294124074,29.945962300180994,3.33649222181679,3.34068147693261,3.3364922032008706,0.155723220061549,0.155168426727901,0.15572321999434524,1.48555657095956,1.46460075278214,1.4855566218283474,0.940832558191293,0.933110320240307,0.9408325581849087
48,0.52079733769346,17.9997605140681,36.3081980583787,65348.1807277921,36.3129540024094,36.1204246569194,36.31295399811227,2.08707310461303,2.08637249291042,2.0870730953909926,0.0797062060759965,0.0792738995537974,0.0797062061123633,1.43450471772044,1.42621236244321,1.4345047327950113,0.966749764285767,0.956846833746294,0.9667497642811115
52,0.500931397030195,11.2038353170544,34.4635023756736,27868.2084254712,21.4371981020108,21.2973769081797,21.437197827104043,1.24637394534827,1.26897001243632,1.246373929561602,0.111809270387971,0.117400748145631,0.1118092704281409,2.01389080768417,2.00267703442007,2.013890842098881,0.9549080476106,0.925709556296287,0.9549080476826456
56,0.680612308120031,10.7126242001142,6.61290399197846,74447.8931029706,27.3975235007504,27.5338915805829,27.397523512422985,12.9718200308161,13.0477397851437,12.971820031305207,0.378762066661781,0.380667472762024,0.3787620666620909,0.979362018046322,0.919758780971277,0.97936199236804,0.81683363764767,0.820184998217903,0.8168336376523075
60,0.623426097375897,17.2719613686241,22.1675697840695,77463.1701719593,43.3568941529968,43.1780722853601,43.35689409802241,5.19385547482659,5.20964136557315,5.193855469732967,0.15740908406357,0.156762155249709,0.15740908407282486,1.39005303374046,1.36922964548916,1.3900530607649988,0.945293617117397,0.934671345444808,0.9452936171109037
64,0.636758856774242,18.9696114396259,17.8651048456304,55437.0587491836,48.7941348346529,48.6057485632197,48.7941348377571,7.51912004975299,7.52884096701275,7.519120057670866,0.31371614275355,0.31250604975196,0.3137161427032506,2.17887968198271,2.13583866513851,2.1788796765185725,0.934338448442045,0.925940635621278,0.9343384484238264
68,0.476329634177301,19.7087491736037,43.520028305645,92721.6304666621,36.5565313214484,36.3810903863697,36.55653130447074,1.6040496747674,1.60818441791765,1.6040496763021617,0.0431521414962557,0.0429412094727368,0.04315214148941335,1.01247802014549,1.0083736526286,1.0124780283555834,0.971323545786721,0.959549406463349,0.9713235457736609
72,0.66545514734479,18.3670597384394,42.8163826445935,33320.8209343746,52.7350022855609,52.7049947808078,52.73500229120742,3.68158340742923,3.74903751064926,3.6815834074524743,0.245975636005358,0.245808445798183,0.245975636012388,3.66811324024876,3.63126036096893,3.6681132340775964,0.96053608038698,0.94218058788187,0.9605360803748164
76,0.417878111492589,18.2747064197977,5.96161927635542,35036.4215132708,28.9602032353641,27.9644855049708,28.960203261303363,8.34494422294261,8.08356982246822,8.344944215480423,0.579385001682867,0.559244970381464,0.5793850016824191,2.17961751712971,2.13153029904219,2.179617628416643,0.922497347517712,0.88796495676382,0.9224973475279996
80,0.457581938996857,10.168411006707,44.5229500124216,63553.3553383186,17.8787348175997,17.7913643888917,17.878734793304922,0.740318681623206,0.740112387459599,0.7403186833887196,0.0289123398789918,0.0288034341622705,0.028912339879676646,0.732122041424395,0.729461749316936,0.732122054431563,0.953713285837925,0.944678022607211,0.9537132858378595
84,0.57559883658165,12.8840058723308,22.0209178764044,17151.6110982728,28.7254175568406,28.4748809498108,28.72541720265547,3.0736496811141,3.10200170268474,3.073649618156417,0.437769922727948,0.437518569518897,0.43776992272834414,4.3238030224295,4.27226350317015,4.323803018400469,0.946219735663239,0.921288119626708,0.9462197359172103
