strategy,seed,output,rmse,nrmse,r2,mae
random,0,v_out_mean,0.7682235231285232,0.008426875628863933,0.9982310692287355,0.39432149957919727
random,0,i_l_mean,1.1169630181232715,0.02959645263763561,0.9407142729691971,0.5327893270240185
random,0,v_out_ripple,0.04671213521705323,0.03437587433085627,0.8887212707617924,0.014666568612453593
random,0,i_l_ripple,0.04159047803989658,0.006898840282598071,0.9979623765616116,0.012924707649990175
random,0,efficiency,0.25420900961021264,0.10899988675867377,0.028243581883423463,0.1517164274352049
random,1,v_out_mean,0.9049702996238992,0.009926892282196483,0.997545266854249,0.38180282196560555
random,1,i_l_mean,1.3922551302520167,0.03689093761693497,0.9078892718495589,0.6181893468825967
random,1,v_out_ripple,0.03858026145159384,0.02839155635145106,0.9240927860491025,0.016796070488733713
random,1,i_l_ripple,0.09458173549836221,0.015688790261756742,0.9894621827976359,0.02332425277493797
random,1,efficiency,0.27143530673156785,0.11638618844160024,-0.10791952332306498,0.17132605023156083
random,2,v_out_mean,1.2035427873955997,0.013202023991788365,0.9956583110775239,0.4611554940431867
random,2,i_l_mean,2.0467484796593864,0.05423321404246019,0.8009319718235923,0.728821422412551
random,2,v_out_ripple,0.04834565306362565,0.03557799459254117,0.8808023808098838,0.015590269619440211
random,2,i_l_ripple,0.020656871840325074,0.003426468419713666,0.9994973505480207,0.007773828940758867
random,2,efficiency,0.20131385803052515,0.08631947294836327,0.39057132613546175,0.12287889030042717
random,3,v_out_mean,1.09155880097094,0.011973637854662596,0.9964286706285455,0.5207599575644944
random,3,i_l_mean,1.438170447793525,0.038107567441656054,0.9017136329498316,0.5634137924103245
random,3,v_out_ripple,0.038861859739692244,0.02859878702755856,0.9229806447483235,0.016394882044580575
random,3,i_l_ripple,0.03465755723871213,0.005748838754522528,0.9985850796214587,0.012399678885028619
random,3,efficiency,0.1771843087974012,0.07597319081626575,0.527908633923355,0.11155398333501633
random,4,v_out_mean,1.1294852868065766,0.012389664921726657,0.9961761857240468,0.45420003988318636
random,4,i_l_mean,1.9306734645590202,0.05115754490114607,0.8228707772314312,0.642306438299627
random,4,v_out_ripple,0.03419642601883917,0.02516545300114833,0.9403632240943325,0.013040886319974231
random,4,i_l_ripple,0.03939998124789088,0.006535490587672844,0.9981713603446589,0.01218813206511897
random,4,efficiency,0.2097275905428576,0.08992711806081709,0.338565756378417,0.11841502724712301
random,5,v_out_mean,0.7115796641380326,0.0078055320478865094,0.9984823113350478,0.4790470282509107
random,5,i_l_mean,0.8125548952375813,0.0215304733300704,0.9686254154439324,0.4625987535129173
random,5,v_out_ripple,0.05479036843348595,0.04032071775479937,0.8469049459643629,0.018639993171186805
random,5,i_l_ripple,0.06695222996441651,0.011105732919088004,0.9947196076115813,0.022284877481846325
random,5,efficiency,0.2078469650072036,0.08912074235156874,0.3503747230450215,0.12809910603267516
random,6,v_out_mean,0.7477067547230487,0.008201821005497222,0.9983242923882054,0.5028650390008602
random,6,i_l_mean,1.2305968618189442,0.032607437440536485,0.9280378436992457,0.714767147029599
random,6,v_out_ripple,0.03593113449020721,0.02644204034050527,0.9341592789416976,0.020598629984451697
random,6,i_l_ripple,0.03616334675289957,0.005998612304795861,0.998459458739609,0.014022503452818013
random,6,efficiency,0.25987985104849276,0.11143143344361114,-0.015595478601812873,0.1350173561385817
random,7,v_out_mean,0.7823058942558593,0.00858134940697254,0.9981656219746168,0.40789945291685553
random,7,i_l_mean,1.1634839072588816,0.030829128446612866,0.9356729962433287,0.5159927385951213
random,7,v_out_ripple,0.040220175562956165,0.029598383681086995,0.9175025275825672,0.015184901233196484
random,7,i_l_ripple,0.058561183571856495,0.009713864116555573,0.9959602378624377,0.017085281597149487
random,7,efficiency,0.3410730532281601,0.1462455018227293,-0.7493244179870693,0.21971425881462306
random,8,v_out_mean,0.5998705130247471,0.0065801606622199775,0.9989214242211832,0.3862133757171852
random,8,i_l_mean,0.9971816332978789,0.026422574876837725,0.9527479012021884,0.5841503948254433
random,8,v_out_ripple,0.11854658083436034,0.08723947955234876,0.28331092615311737,0.06001255500445244
random,8,i_l_ripple,0.03166957893685933,0.005253206435687985,0.9988185354863134,0.013959095720890538
random,8,efficiency,0.2827381795153064,0.12123264079733807,-0.20211067858710718,0.1699360549873363
random,9,v_out_mean,0.8687412682364404,0.009529485105164172,0.9977378753128644,0.4740148015630983
random,9,i_l_mean,1.348994263592708,0.03574464345108462,0.9135245625707422,0.6037222594720609
random,9,v_out_ripple,0.07365873415649314,0.054206115326733535,0.7233050575461057,0.02754382685522963
random,9,i_l_ripple,0.04938739909906345,0.008192158263497897,0.9971267830879351,0.014731126045369625
random,9,efficiency,0.20668308789447,0.08862169444731273,0.35762974431843275,0.1137670002283395
random,10,v_out_mean,1.2121034723756994,0.013295928728435064,0.9955963273788049,0.4588423191104414
random,10,i_l_mean,1.0420384119573045,0.027611156328085088,0.9484011504769229,0.49245794365856066
random,10,v_out_ripple,0.027774886373308633,0.020439785059838272,0.9606579215012244,0.013793647680246574
random,10,i_l_ripple,0.04144974871913019,0.006875496739729568,0.9979761426077638,0.014366587043342783
random,10,efficiency,0.1817028394105958,0.07791064899648134,0.5035231894517975,0.1131533745643251
random,11,v_out_mean,0.7121912366130517,0.007812240570900794,0.9984797014361873,0.34574578595462757
random,11,i_l_mean,0.9616033576754409,0.02547984827595395,0.9560595496279494,0.5049585195439666
random,11,v_out_ripple,0.03596687450086365,0.026468341731122516,0.934028232793487,0.021797110604206964
random,11,i_l_ripple,0.054320746820302294,0.009010479657993476,0.9965240976466312,0.013059392626377151
random,11,efficiency,0.17085859045864765,0.07326084563365934,0.5610155073615644,0.10656696151730012
random,12,v_out_mean,0.6577693417801782,0.00721527038522345,0.9987031704761645,0.39628047451418824
random,12,i_l_mean,0.8672274114934477,0.02297914487218276,0.9642613161166036,0.5301643200572473
random,12,v_out_ripple,0.04032168241064997,0.029673083469992593,0.9170855912868825,0.01573757718924604
random,12,i_l_ripple,0.05442955967402815,0.009028529041744927,0.9965101581595686,0.01617551129615699
