config_id,output,rmse,nrmse,r2,mae
GP-SE,v_out_mean,0.13009307068672252,0.00298460896204605,0.9997996425384691,0.05991784224602
GP-SE,i_l_mean,0.13273453481348768,0.0068824673670699645,0.9981915272879894,0.06129036422568456
GP-SE,v_out_ripple,0.029622112420778883,0.020588130650899095,0.9794328572870958,0.01565840145350451
GP-SE,i_l_ripple,0.02023901791312858,0.0025240098346210453,0.9997962542441248,0.010443983903254675
GP-SE,efficiency,0.0008944436018665588,0.005452089411056541,0.9990069775327005,0.0004574505553251218
GP-M52,v_out_mean,0.10507570739364282,0.002410657972211292,0.9998692921003576,0.048209680665699396
GP-M52,i_l_mean,0.16114324169591956,0.008355497715454668,0.997334563823076,0.06967226037778147
GP-M52,v_out_ripple,0.035806847407859735,0.024886680671453613,0.9699479515081425,0.01896765092907977
GP-M52,i_l_ripple,0.04006516036692506,0.004996529931731066,0.9992015578191734,0.016427370497311786
GP-M52,efficiency,0.0009691217179851426,0.005907290572178518,0.9988342382450198,0.000504585520442391
GP-M32,v_out_mean,0.16580559153562083,0.003803929385649187,0.9996745415619622,0.09034918670572262
GP-M32,i_l_mean,0.28963850736141966,0.015018153172894266,0.9913889383752409,0.13029891119830472
GP-M32,v_out_ripple,0.052247219648329304,0.036313162578894234,0.9360164579365191,0.026554606037878646
GP-M32,i_l_ripple,0.04201935892826283,0.005240238218802608,0.999121769438728,0.024944213443870194
GP-M32,efficiency,0.0014272768883241804,0.008699979734036856,0.9974714612260099,0.0007811550415174706
GP-SE-noARD,v_out_mean,0.13009307068672252,0.00298460896204605,0.9997996425384691,0.05991784224602
GP-SE-noARD,i_l_mean,0.13273453481348768,0.0068824673670699645,0.9981915272879894,0.06129036422568456
GP-SE-noARD,v_out_ripple,0.029622112420778883,0.020588130650899095,0.9794328572870958,0.01565840145350451
GP-SE-noARD,i_l_ripple,0.02023901791312858,0.0025240098346210453,0.9997962542441248,0.010443983903254675
GP-SE-noARD,efficiency,0.0008944436018665588,0.005452089411056541,0.9990069775327005,0.0004574505553251218
GP-SE-nonug,v_out_mean,0.06543707819037714,0.00150126435625015,0.9999493073505521,0.031213181789285754
GP-SE-nonug,i_l_mean,0.08340631734557047,0.004324731752327953,0.9992859280260468,0.043766114950785334
GP-SE-nonug,v_out_ripple,0.03219898338588931,0.022379122304248808,0.975698883361607,0.016565357421120086
GP-SE-nonug,i_l_ripple,0.010617566294664779,0.0013241176949643908,0.9999439262418629,0.005571677278672993
GP-SE-nonug,efficiency,0.000808650679403362,0.004929137843032496,0.999188338282891,0.0003831995397507315
