config_id,output,rmse,nrmse,r2,mae
RBF-MQ,v_out_mean,1.2408538813315582,0.028467800746514126,0.9817720227422465,0.5848286920778182
RBF-MQ,i_l_mean,1.2810101009696644,0.06642212766405714,0.8315584596216866,0.48705106828049405
RBF-MQ,v_out_ripple,0.09167142026202928,0.06371399684460827,0.8030255802674782,0.03600754177273515
RBF-MQ,i_l_ripple,0.41523349812539173,0.051783808751547186,0.9142380858675702,0.22900355237307898
RBF-MQ,efficiency,0.011396185926321254,0.06946555879617913,0.8387973402814751,0.004429101076275248
RBF-G,v_out_mean,9.0524688791954,0.20768269672526884,0.02986701289634741,7.034707608271184
RBF-G,i_l_mean,2.93644710720987,0.15225880302286868,0.11490790718836152,2.0663148137323564
RBF-G,v_out_ripple,0.2028928330626048,0.14101574175020068,0.0351155159632226,0.13189493170673597
RBF-G,i_l_ripple,1.3393587040159092,0.1670315504206637,0.10771516877285936,0.9381588860919209
RBF-G,efficiency,0.02497601122554346,0.1522415119847099,0.22571773329286415,0.015715149680282096
RBF-TPS,v_out_mean,0.7496320869371291,0.017198138479624554,0.9933473676037081,0.3943308492973564
RBF-TPS,i_l_mean,1.0655736664089914,0.05525145356160743,0.8834503283657213,0.458137621498325
RBF-TPS,v_out_ripple,0.08013812790706834,0.05569806177333397,0.8494709587897729,0.033768544450237234
RBF-TPS,i_l_ripple,0.4272142068211709,0.0532779240640427,0.9092177223895224,0.22772917106434576
RBF-TPS,efficiency,0.00960735944895005,0.058561750132177834,0.8854325543660946,0.004290346444997912
RBF-C,v_out_mean,0.5358128840420316,0.012292675753212154,0.9966012165426331,0.27843070291213684
RBF-C,i_l_mean,0.876031132848503,0.04542341367933508,0.9212259495030056,0.3967161809411237
RBF-C,v_out_ripple,0.06817347885514333,0.04738232269388883,0.8910636492746218,0.029520373032940132
RBF-C,i_l_ripple,0.38358020447598323,0.047836323512284167,0.926815000530083,0.1876426607475143
RBF-C,efficiency,0.007911068078644395,0.04822199008603263,0.922317464057705,0.0038099518593186998
