model,N,output,rmse,nrmse,r2,train_s
GP-M52,10,v_out_mean,3.741147905037414,0.039846327563332444,0.9567831717854233,0.36061556599997857
GP-M52,10,i_l_mean,3.235658971866746,0.08216231859468157,0.40152399685570217,0.2924323759998515
GP-M52,10,v_out_ripple,0.117120445009876,0.11040614928682486,0.0777894907230332,0.28595266100001027
GP-M52,10,i_l_ripple,0.5342258070405864,0.07858151131642738,0.538239169468089,0.24149993199989694
GP-M52,10,efficiency,0.026544883874659423,0.09481882820656687,0.2936887582672094,0.5159767090008245
GP-M52,15,v_out_mean,2.0598760104661364,0.021939387678943757,0.9868983711317552,0.43083436399956554
GP-M52,15,i_l_mean,3.735330618461596,0.09485036185795842,0.20241063831659378,0.4285532679996322
GP-M52,15,v_out_ripple,0.1032510958155349,0.09733190390180771,0.2832726480698321,0.47740014200007863
GP-M52,15,i_l_ripple,0.6050392993600291,0.08899776447140323,0.40770982049428806,0.32799832900036563
GP-M52,15,efficiency,0.024911684634408987,0.08898500957245208,0.3779280000532518,0.48074669200013886
GP-M52,20,v_out_mean,2.042406351335787,0.02175332132236096,0.98711965671174,0.5810239729999012
GP-M52,20,i_l_mean,2.796286723750555,0.07100544361333674,0.553023532766705,0.5314292309994926
GP-M52,20,v_out_ripple,0.09140709739938649,0.08616689972874524,0.43827406489427734,0.4934143829996174
GP-M52,20,i_l_ripple,0.1666979407397512,0.024520298240984655,0.9550398415882676,0.4373932820008122
GP-M52,20,efficiency,0.02232231685264129,0.07973573878933773,0.500525873742956,0.430812333999711
GP-M52,30,v_out_mean,1.1812304372968172,0.01258108370132367,0.9956916359680161,0.52629797300051
GP-M52,30,i_l_mean,1.99568050263515,0.050675840283657736,0.7723313219059329,0.5897816630003945
GP-M52,30,v_out_ripple,0.06778233818413625,0.06389650370553795,0.6911143509942723,0.5247419170000285
GP-M52,30,i_l_ripple,0.18523193601192803,0.027246541226675025,0.944486437968846,0.5683969850006179
GP-M52,30,efficiency,0.01389507899359445,0.049633485466781396,0.8064663447362226,0.6152244220002103
GP-M52,40,v_out_mean,1.236158644633573,0.01316611465908398,0.9952816347800537,0.6431413549998979
GP-M52,40,i_l_mean,1.5464364715024626,0.03926829346441185,0.8632946772887566,0.6112951109998903
GP-M52,40,v_out_ripple,0.06967982390891359,0.06568521012807349,0.6735785209744883,0.6677522949994454
GP-M52,40,i_l_ripple,0.07959685833920105,0.011708235247906694,0.9897491656350029,0.6601263160000599
GP-M52,40,efficiency,0.0106275698876362,0.037961881023372494,0.8867854099750768,0.5693419509998421
GP-M52,50,v_out_mean,1.1810776496478732,0.012579456386162124,0.9956927504368249,0.7828892870002164
GP-M52,50,i_l_mean,1.390807163858344,0.0353164354755124,0.8894254717540062,0.6651370679992397
GP-M52,50,v_out_ripple,0.06578019724144728,0.062009141752694084,0.7090924571633509,0.7761431649996666
GP-M52,50,i_l_ripple,0.06985023690707265,0.010274563882218545,0.9921058907995246,0.7557357300001968
GP-M52,50,efficiency,0.01052007703880201,0.0375779145304253,0.8890640518958107,0.7497374599997784
GP-M52,75,v_out_mean,0.7836700326708054,0.008346735712138616,0.9981036887875858,1.1982503569997789
GP-M52,75,i_l_mean,0.8570405498897976,0.021762626816008775,0.958012115075633,1.051483578999978
GP-M52,75,v_out_ripple,0.0401713400999019,0.037868392420704985,0.891508108982857,1.0659480009999243
GP-M52,75,i_l_ripple,0.06279373922215829,0.009236594084852853,0.9936203029942186,0.9868406770001457
GP-M52,75,efficiency,0.004358554054820143,0.015568837675253494,0.9809577031106139,1.1187826459999997
GP-M52,100,v_out_mean,0.5455572895063395,0.005810637540676435,0.9990809823348379,1.6349621810004464
GP-M52,100,i_l_mean,0.7430687303596913,0.01886856751357071,0.9684369307054135,1.556908998999461
GP-M52,100,v_out_ripple,0.02528617264282945,0.02383656373113375,0.9570136236293428,1.6875287180000669
GP-M52,100,i_l_ripple,0.032576000794664085,0.004791740386468008,0.9982830292496669,1.6486142639996615
GP-M52,100,efficiency,0.0027903987660718626,0.009967357268440067,0.9921951061393618,1.7153945970003406
GP-M52,125,v_out_mean,0.2956252300174009,0.00314865384910278,0.9997301476991517,2.0718295850001596
GP-M52,125,i_l_mean,0.3419116528971268,0.008682081270252245,0.9933173446703052,2.2381945659999474
GP-M52,125,v_out_ripple,0.026937005132129762,0.025392757086152698,0.9512175893971054,2.1328495349998775
