output,input,mean_abs_shap
v_out_mean,D,11.466887126254715
v_out_mean,V_in,8.992194384089688
v_out_mean,R,0.7638153393945603
v_out_mean,f_sw,4.605115375456435e-06
i_l_mean,D,1.872181207852615
i_l_mean,V_in,0.7455406563591679
i_l_mean,R,1.8816347392657151
i_l_mean,f_sw,0.011574574676507346
v_out_ripple,D,0.038571011094723884
v_out_ripple,V_in,0.016871625689647316
v_out_ripple,R,0.04108230155794774
v_out_ripple,f_sw,0.031247917888989212
i_l_ripple,D,0.2699885799112028
i_l_ripple,V_in,0.2202885042523087
i_l_ripple,R,0.0
i_l_ripple,f_sw,0.4258028909121739
efficiency,D,0.010613276150764881
efficiency,V_in,0.006394058236317234
efficiency,R,0.015140151039204184
efficiency,f_sw,0.0
